ACO_Num,year,ACO_State,Start_Date,Track1,Track2,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_INP_Other,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO_NAME,N_AB_Year,N_AB_Year_ESRD,N_AB_Year_DIS,N_AB_Year_AGED_Dual,N_AB_Year_AGED_NonDual,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,CHF_ADM,COPD_ADM,PNEU_ADM
A67373,2014,Florida,7/1/12,1,0,0,34601,0.0714,0.0235,32173449,32173449,14455933,0.92,13389,13375,450902466,418729017,,,0.5,0.46,92004,13364,17803,11923,93369,14388,18077,12464,93055,13347,18192,12193,84208,12524,15065,11610,12434,1.071,1.257,1.059,1.211,1.041,1.275,1.089,1.224,1.056,1.249,1.096,1.227,1.05,1.205,1.04,1.223,260,2133,1344,29482,3077,13165,11565,6794,20074,14527,31248,1956,198,571,12,616,3016,2707,121,175,53,1,338,318,3,10,7,175,826,89,648,260,869,416,14814,5145,8912,735,22,0,0,0,0,0,104,181,35,0,0,"Palm Beach Accountable Care Organization, LLC",33676,294,2046,1306,30030,367,969,1630,5574,122,894,231,13.09524988,7.928416593,8.017499926
A38665,2014,"New York,  New Jersey",4/1/12,1,0,0,11219,0.0141,0.0293,1495426,0,0,0.87,9731,9675,106387253,104891827,,,0.5,0.43,74266,7798,7735,7182,76243,9402,7815,9784,75103,9395,8651,11131,74115,10303,8425,8702,9594,1.046,1.151,0.878,1.122,1.017,1.183,0.859,1.193,1.024,1.152,0.878,1.217,0.944,1.161,0.881,1.13,139,862,8222,2031,1120,4082,4230,1787,6782,4437,638,198,8769,*,*,1521,2492,2350,*,79,57,0,211,203,*,4,*,169,837,39,324,169,530,273,14984,8687,6080,188,28,0,0,0,0,0,91,190,21,0,0,"Chinese Community Accountable Care Organization, Inc.",10933,164,768,7934,2066,122,689,1217,4729,94,354,182,6.036631377,5.396382594,6.676880159
A64796,2014,Tennessee,7/1/12,1,0,0,37174,-0.0361,0.0233,-10458722,0,0,0.93,8016,7918,289392197,299850919,,,0.5,0.47,69840,7402,11520,7320,72695,7036,12456,7583,71440,7181,12404,7142,69253,7539,13017,7778,8305,1.03,1.082,1.016,0.966,1.055,1.05,1.046,0.971,1.033,1.049,1.089,0.967,1.01,1.058,1.127,0.986,210,3860,1136,29384,5364,16886,10524,4400,20915,16259,35572,968,84,36,19,495,2253,2027,87,98,51,0,288,272,3,6,8,151,811,76,628,193,700,261,10253,4507,3843,1884,19,0,0,2,0,26,249,208,157,2,1,Summit Health Solutions,36103,232,3850,1092,30930,214,639,1464,3056,159,472,285,12.29800504,6.924552385,9.722071549
A84830,2014,Florida,1/1/13,1,0,0,6850,0.0492,0.0343,6277693,6277693,2684351,0.87,19214,19148,127483618,121205925,,,0.5,0.44,86648,16406,21845,13300,83293,19008,24344,14324,87877,17103,22909,14474,80953,17245,21779,14496,18267,0.988,1.471,1.241,1.24,1.034,1.572,1.271,1.281,1.043,1.532,1.282,1.329,1.104,1.483,1.223,1.393,116,839,2367,3550,1010,2453,2166,1221,4138,2712,4733,530,*,1439,*,103,5924,5039,351,512,132,4,650,593,10,28,19,238,778,161,1038,518,1186,368,13107,5686,6770,600,51,0,0,0,0,0,0,0,0,0,0,"South Florida Accountable Care Organization,LLC",6635,135,774,1909,3816,471,2069,2067,5313,216,2659,343,29.6906595,32.25279763,14.16711672
A76261,2014,"New Jersey,  New York",4/1/12,1,0,0,15603,0.0326,0.0268,6464895,6464895,2832988,0.89,13099,13219,198546103,192081207,,,0.5,0.45,106720,12788,23178,11813,102508,12062,23358,12292,110785,12233,22230,11936,136774,13144,19050,11375,12672,1.061,1.186,1.277,1.096,1.051,1.164,1.21,1.106,1.086,1.16,1.277,1.086,1.143,1.101,1.183,1.089,78,865,413,9673,1731,6863,4638,2371,9298,6305,13796,649,*,409,*,539,4069,3550,87,328,163,0,345,313,3,18,11,198,830,119,593,259,843,304,12210,4550,7053,603,5,0,1,0,0,5,112,382,73,5,1,"Hackensack Physician-Hospital Alliance ACO, LLC",15158,93,1181,769,13114,176,1791,1947,4447,203,612,213,13.19464298,6.927187562,8.312625074
A39692,2014,Florida,4/1/12,1,0,1,7078,0.026,0.0338,1660396,0,0,0.94,9249,9030,63798902,62138506,1877416,0,0.5,0.47,97721,9699,10392,7763,74309,9808,11353,8220,72543,8758,12119,8253,68343,10036,9791,8300,9008,1.027,1.148,0.989,0.997,1.124,1.19,1.047,1.005,1.061,1.138,0.995,1.018,0.989,1.164,0.967,1.061,43,603,266,5244,901,3460,2037,680,3996,3082,6108,484,53,222,16,195,2389,2280,*,68,30,0,283,274,*,*,6,146,848,41,578,179,681,304,12310,6013,5754,498,44,0,0,0,0,0,22,0,2,0,0,"Primary Partners, LLC",6898,57,626,269,5947,146,471,1616,3750,81,450,314,15.22143565,9.56775955,6.958370582
A38596,2014,"New Hampshire,  Massachusetts,  Maine",7/1/12,1,0,0,37590,-0.0112,0.0232,-4004102,0,0,0.94,9780,9748,357516836,361520938,,,0.5,0.47,71148,8568,12476,8557,80147,9066,14759,9107,81796,8831,13483,9602,82217,9205,13121,9552,9889,1.046,1.033,1.036,1.029,1.062,1.059,1.052,1.042,1.056,1.037,1.02,1.037,1.063,1.021,1.021,1.027,117,4588,740,25286,7026,16156,9564,4844,21651,15939,36406,231,132,110,21,690,3237,2717,34,386,130,0,315,282,1,21,11,157,819,77,769,218,651,263,9317,3307,4025,1978,6,0,0,0,0,6,302,313,149,0,0,Concord Elliot ACO LLC,36557,154,5718,866,29819,300,878,2371,2421,142,622,227,13.62265519,9.546800523,9.27325323
A60892,2014,Arizona,4/1/12,1,0,0,10166,-0.0563,0.0299,-5209779,0,0,0.9,9454,9169,92473271,97683050,,,0.5,0.45,80395,9053,12904,9030,51380,7710,8306,7847,59972,7949,8309,8353,68617,8580,7168,9148,9986,0.992,1.051,0.829,1.004,0.969,1.061,0.838,0.969,0.993,1.058,0.75,0.981,0.975,1.137,0.807,1.03,128,1121,450,6252,1826,4669,2582,1089,5276,4890,8850,242,53,582,199,240,3456,2771,157,540,27,1,355,311,5,34,5,176,750,69,664,228,691,311,9573,2930,4528,863,1251,0,38,0,0,0,152,133,110,0,0,"Arizona Connected Care, LLC",9782,167,1199,518,7899,178,689,1806,3480,126,365,174,11.85871769,5.520437546,7.565044044
A58483,2014,"New Jersey,  Pennsylvania",4/1/12,1,0,0,70550,-0.0182,0.02,-12923109,0,0,0.88,10391,10236,711644016,724567125,,,0.5,0.44,97523,9863,17324,9633,104708,10001,16406,9593,104570,9773,15872,9228,103172,10330,15863,9697,10579,1.062,1.123,1.191,1.048,1.086,1.1,1.15,1.044,1.066,1.088,1.112,1.026,1.053,1.078,1.161,1.033,218,4359,2324,39539,8346,31766,20164,10274,40486,30064,64238,2606,1028,602,18,2058,3296,2915,77,232,117,0,299,276,2,13,9,172,834,92,545,227,674,248,10732,4167,6032,528,5,0,0,0,0,8,418,839,149,9,3,"AHS ACO, LLC",68490,421,5639,2840,59589,252,1229,1728,3841,147,368,180,12.35224335,7.519391635,6.453536122
A61599,2014,Florida,4/1/12,1,0,0,8638,0.0668,0.0314,6454259,6454259,2702318,0.85,11509,11226,96690440,90236181,,,0.5,0.43,82301,9646,14770,10749,71319,10846,12458,11010,65664,10383,13059,10528,81097,10126,14757,10043,10741,1.024,1.194,1.065,1.224,0.994,1.181,1.184,1.237,1.019,1.248,1.14,1.214,1.11,1.276,1.098,1.25,48,698,446,7113,1008,3333,2612,1685,5096,3542,7646,507,55,239,11,180,2728,2415,70,202,58,0,328,308,2,11,8,173,809,62,635,247,764,362,12840,4314,7375,1128,23,0,0,0,0,0,18,12,8,0,0,"Florida Physicians Trust, LLC",8401,56,711,381,7253,337,704,1517,4367,105,988,247,15.11664815,10.35549913,9.99841295
