ACO_Num,year,ACO_Name,ACO_State,Adv_Pay,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,EarnSaveLoss,QualScore,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_INP_Other,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,pneu_adm,readm_Rate_1000,prov_Rate_1000,P_SNF_ADM,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,N_CAH,N_FQHC,N_RHC,N_ETA,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,Start_Date,Track1,Track2
A67373,2015,"Palm Beach Accountable Care Organization, LLC",Florida,0,60845,0.0948,0.02,76642477,76642477,36834657,98.08,13618,13364,808769966,732127489,,,50,49.04,92889,13516,21542,11571,90003,13196,20326,11983,92813,13704,21657,12016,82632,12802,17158,11475,12328,1.053,1.252,1.18,1.197,1.035,1.26,1.167,1.211,1.055,1.292,1.184,1.217,1.049,1.243,1.191,1.216,369,3249,3322,47034,59389,410,3364,2993,52622,4894,24128,20319,11504,35022,25823,54832,2546,275,1912,26,1254,3011,2668,101,218,54,324,834,1,1587,5516,120,1001,242,330,308,3,12,8,13,12,9,177,815,76,645,253,884,441,14775,5182,8810,741,42,0,0,0,0,0,219,278,63,0,0,7/1/12,1,0
A38665,2015,CCACO,"New Jersey, New York",0,9420,0.1102,0.0306,10317715,10317715,4358226,86.2,10223,9577,93668605,83350890,,,50,43.1,74066,7780,7678,7086,76664,9549,7753,9503,74520,9264,8627,10773,69728,10251,8039,7848,9097,1.041,1.15,0.876,1.106,1.016,1.178,0.856,1.166,1.027,1.149,0.876,1.189,0.959,1.203,0.902,1.085,139,871,8380,2146,9162,140,664,6222,2136,958,3437,3455,1570,5644,3776,595,184,7114,*,*,1436,2201,2046,*,83,66,125,624,0,1268,4550,92,313,202,199,190,*,*,5,6,7,7,184,808,35,325,168,547,291,14455,8180,6092,155,28,0,0,0,0,0,91,175,21,0,0,4/1/12,1,0
A76261,2015,Hackensack Alliance ACO,"New Jersey, New York",0,23156,0.1096,0.0247,33353310,33353310,15640878,95.7,13507,13166,304196419,270843109,,,50,47.85,110736,12847,21220,11822,103867,12003,21575,12257,108533,12396,19791,11902,103683,11692,17289,10686,12026,1.077,1.185,1.237,1.106,1.053,1.148,1.183,1.113,1.084,1.157,1.214,1.089,1.103,1.097,1.129,1.061,85,954,518,10136,22522,162,1801,2014,18544,2541,10111,6767,3737,13843,9313,19463,1276,402,1087,16,912,3471,3117,71,214,111,194,1536,0,2052,4277,96,602,217,308,286,2,11,9,12,10,7,176,840,106,581,237,771,301,12195,4713,6891,589,3,0,0,0,0,6,132,426,94,5,1,4/1/12,1,0
A39692,2015,"Primary Partners, LLC",Florida,1,6965,0.0659,0.0341,4347600,4347600,2113681,99.22,9694,9041,66002419,61654820,1877416,1877416,50,49.61,101266,9883,9988,7724,72372,9981,11820,8179,73233,8834,11354,8285,84863,9360,10845,8170,9055,1.042,1.148,0.966,0.991,1.127,1.193,1.051,0.991,1.065,1.14,0.987,1.01,1.028,1.244,1.018,1.128,42,581,244,5083,6809,61,580,237,5931,809,3383,2077,696,3941,3024,6004,479,59,201,19,203,2257,2073,84,86,28,153,420,0,1712,3888,79,443,278,256,244,2,5,5,14,9,6,147,848,40,587,179,706,307,12266,5836,5738,580,112,0,0,0,0,0,22,0,2,0,0,4/1/12,1,0
A38596,2015,NH Accountable Care Partners,"Maine, Massachusetts, New Hampshire",0,38700,-0.0008,0.0231,-323268,0,0,89.84,10096,9748,380402092,380725360,,,50,44.92,71148,8568,12476,8557,80147,9066,14759,9107,81796,8831,13483,9602,84102,9878,13280,9694,10105,1.046,1.033,1.036,1.029,1.062,1.059,1.052,1.042,1.056,1.037,1.02,1.037,1.055,1.045,1.048,1.027,117,4588,740,25286,37677,152,5731,867,30927,6902,17120,9830,4848,22144,16556,37371,228,141,118,17,825,3301,2768,34,399,129,293,872,3,2396,2500,145,665,237,318,285,1,20,11,17,14,10,172,814,77,760,222,659,265,9198,3202,3964,2025,7,0,0,0,0,6,303,292,157,0,0,7/1/12,1,0
A60892,2015,"Arizona Connected Care, LLC",Arizona,0,6956,0.0834,0.0341,4858147,4858147,2239894,94.09,8640,8021,58243424,53385277,,,50,47.05,86988,8956,13201,9431,54788,7040,6796,7036,61968,7021,6522,7250,63914,8184,5861,7170,7920,1.014,1.044,0.814,0.999,0.998,1.048,0.809,0.954,0.979,1.032,0.708,0.972,0.997,1.097,0.754,0.991,64,957,355,4658,6741,83,745,331,5581,1127,3409,1729,691,3793,3163,6044,167,48,393,114,190,2322,1890,*,372,48,138,187,0,1627,3244,93,249,206,244,212,*,23,7,8,5,*,166,773,20,547,151,601,278,9036,2557,4203,931,1345,0,39,0,0,0,153,87,112,0,0,4/1/12,1,0
A58483,2015,Atlantic ACO,"New Jersey, Pennsylvania",0,86189,0.0385,0.02,35513990,35513990,16719376,96.08,11002,10894,922529513,887015523,,,50,48.04,100308,10061,16638,10053,110028,10350,16862,10254,109264,10027,16357,9846,88217,10368,15817,9812,10578,1.069,1.098,1.171,1.065,1.09,1.104,1.139,1.067,1.065,1.083,1.104,1.039,1.067,1.051,1.095,1.015,173,3392,1959,28231,83853,478,7541,3764,72071,10280,39482,24131,12296,49489,36700,77148,3501,1604,959,29,2948,3243,2861,74,233,113,232,1161,0,1764,3830,91,377,196,288,266,2,12,9,13,9,6,163,832,88,551,215,700,262,10764,4169,5980,594,21,0,6,0,0,8,466,887,166,9,4,4/1/12,1,0
A61599,2015,"Florida Physicians Trust, LLC",Florida,0,6544,0.1221,0.0349,9112343,9112343,3928946,87.99,11731,11017,74648154,65535811,,,50,44,83803,10025,18484,10428,73915,10664,16741,10555,78130,10116,14862,10174,73779,10834,12772,9562,10299,0.999,1.193,1.168,1.14,0.969,1.152,1.266,1.128,1.047,1.228,1.154,1.137,1.035,1.309,1.17,1.192,28,560,270,5272,6363,48,643,252,5420,883,2765,1913,983,3801,2743,5606,485,*,208,*,180,2536,2324,*,133,43,439,781,0,1742,3880,96,745,263,307,292,*,8,*,11,11,7,165,828,64,599,231,856,368,12379,4977,5701,1587,114,0,0,0,0,0,26,10,9,0,0,4/1/12,1,0
A46707,2015,"Premier ACO Physicians Network, LLC",California,0,8835,-0.0225,0.0312,-2606456,0,0,83.41,13560,13342,115774483,118380938,,,50,41.71,87926,11497,13111,10934,89994,12582,13637,11121,86725,12413,14280,11496,95304,13413,16521,11303,13865,1.046,1.353,1.069,1.244,1.062,1.409,1.086,1.22,1.017,1.335,1.118,1.238,1.024,1.292,1.12,1.206,155,1643,1977,6209,8538,165,1137,1085,6151,1553,3579,2386,1317,5038,3797,6261,823,587,563,16,585,4778,3761,811,310,105,269,1844,1,1984,4641,231,904,236,380,334,21,14,10,14,10,8,184,771,104,687,270,638,332,11300,4501,6601,191,6,0,0,0,0,0,125,98,7,0,0,4/1/12,1,0
A28708,2015,"Advocate Physician Partners Accountable Care, Inc.",Illinois,0,149633,0.0426,0.02,72667885,72667885,33537591,94.19,11729,11719,1704960610,1632292725,,,50,47.09,90832,10200,17424,9855,91411,10519,18065,10322,92909,10687,17646,10388,84680,10739,15903,10329,11229,1.057,1.13,1.07,1.048,1.047,1.136,1.058,1.051,1.051,1.138,1.073,1.059,1.028,1.099,1.071,1.051,1420,15062,5228,106344,145365,1410,14635,3584,125736,20116,67730,42053,19734,86917,62716,122039,18048,2468,2547,70,4461,3530,3104,121,285,83,259,1332,0,1826,3556,139,794,214,367,340,3,15,9,15,12,8,182,818,111,645,264,729,287,9759,4437,4420,880,22,1,10,0,0,19,1093,1206,302,3,21,7/1/12,1,0
